#Evaluation x y z
0 2.98298 0.0 3.25486
0 2.99195 0.0 3.2518
0 2.99579 0.0 3.25837
0 2.97992 0.0 3.25221
0 2.99217 0.0 3.24038
0 2.99343 0.0 3.24368
0 2.97619 0.0 3.24202
0 2.9921 0.0 3.22931
0 2.99488 0.0 3.22493
0 3.00159 0.0 3.19199
0 3.01343 0.0 3.173
0 3.0145 0.0 3.16836
0 2.99924 0.0 3.17371
0 3.0092 0.0 3.16443
0 3.00515 0.0 3.16449
0 2.99278 0.0 3.17299
1 2.92611 0.0 3.18833
1 2.96821 0.0 3.13326
1 2.87536 0.0 3.05117
1 2.79556 0.0 3.044
1 2.81796 0.0 3.01144
1 2.72348 0.0 2.9428
1 2.66754 0.0 2.93298
1 2.72681 0.0 2.965
1 2.8024 0.0 2.87389
1 2.80204 0.0 2.854
1 2.85774 0.0 2.8564
1 2.92546 0.0 2.73818
1 2.93052 0.0 2.71417
1 2.9389 0.0 2.70933
1 3.02379 0.0 2.69486
