#Evaluation x y z
0 2.83923 0.0 3.19555
0 2.84401 0.0 3.2029
0 2.84698 0.0 3.21674
0 2.84185 0.0 3.19469
0 2.85024 0.0 3.20608
0 2.85236 0.0 3.21554
0 2.84443 0.0 3.19322
0 2.8549 0.0 3.20834
0 2.85383 0.0 3.21243
0 2.84446 0.0 3.19036
0 2.85629 0.0 3.21017
0 2.85588 0.0 3.21066
0 2.84433 0.0 3.18934
0 2.85619 0.0 3.21072
0 2.85866 0.0 3.20821
0 2.84911 0.0 3.19036
1 2.88055 0.0 3.23087
1 2.85877 0.0 3.22791
1 2.85191 0.0 3.14094
1 2.87363 0.0 3.2146
1 2.85229 0.0 3.18168
1 2.85051 0.0 3.12329
1 2.83697 0.0 3.19797
1 2.83754 0.0 3.144
1 2.85337 0.0 3.08258
1 2.81837 0.0 3.17323
1 2.8573 0.0 3.1208
1 2.87642 0.0 3.06216
1 2.83197 0.0 3.1199
1 2.83582 0.0 3.02785
1 2.87021 0.0 3.01792
1 2.83629 0.0 3.08426
