#Evaluation x y z
0 0.00160064 0.0 -0.0151793
0 0.0143282 0.0 -0.00149873
0 0.000670416 0.0 0.000167205
0 0.0154091 0.0 -0.00997136
0 0.0286463 0.0 0.00373008
0 0.019367 0.0 0.00172852
0 0.0309638 0.0 -0.00889929
0 0.0440711 0.0 0.00454838
0 0.04 0.0 0.00296167
0 0.051296 0.0 -0.00720003
0 0.0614862 0.0 0.0062118
0 0.0528706 0.0 0.00527082
0 0.0637877 0.0 -0.00341561
0 0.0742342 0.0 0.00903899
0 0.0713921 0.0 0.00976995
0 0.0794431 0.0 0.00190158
1 0.074019 0.0 0.0156144
1 0.0635117 0.0 0.0228017
1 0.0400742 0.0 0.0603438
1 0.0196956 0.0 0.0443542
1 0.010726 0.0 0.0653888
1 -0.00840382 0.0 0.0907792
1 -0.0418249 0.0 0.0706804
1 -0.0508596 0.0 0.0917528
1 -0.0717255 0.0 0.124954
1 -0.0908664 0.0 0.113167
1 -0.101221 0.0 0.126811
1 -0.121316 0.0 0.14651
1 -0.143818 0.0 0.133668
1 -0.158353 0.0 0.145841
1 -0.181824 0.0 0.179518
1 -0.214136 0.0 0.163096
2 -0.28753 0.0 0.257193
2 -0.234125 0.0 0.315304
2 -0.309534 0.0 0.384031
2 -0.384651 0.0 0.427157
2 -0.445208 0.0 0.486082
2 -0.539092 0.0 0.467362
2 -0.573418 0.0 0.452464
2 -0.637815 0.0 0.448349
2 -0.671508 0.0 0.369191
2 -0.722461 0.0 0.273971
2 -0.758315 0.0 0.198716
2 -0.760513 0.0 0.136453
2 -0.723813 0.0 0.0704617
2 -0.679017 0.0 -0.00503384
2 -0.614491 0.0 -0.0410977
2 -0.514437 0.0 -0.0663848
3 -0.404452 0.0 -0.137256
3 -0.284468 0.0 -0.10142
3 -0.145718 0.0 -0.00924148
3 -0.0740463 0.0 0.0504608
3 -0.152495 0.0 0.0315363
3 -0.205864 0.0 0.0580782
3 -0.202113 0.0 0.0916925
3 -0.18628 0.0 0.167415
3 -0.216552 0.0 0.325544
3 -0.184397 0.0 0.46721
3 -0.250885 0.0 0.447163
3 -0.228413 0.0 0.410511
3 -0.421044 0.0 0.561697
3 -0.432198 0.0 0.625153
3 -0.384158 0.0 0.592039
3 -0.46103 0.0 0.701042
4 -0.641412 0.0 0.505276
4 -0.674811 0.0 0.488121
4 -0.5882 0.0 0.400644
4 -0.516768 0.0 0.372305
4 -0.500607 0.0 0.342076
4 -0.440806 0.0 0.449093
4 -0.431842 0.0 0.487916
4 -0.406958 0.0 0.570384
4 -0.498017 0.0 0.665595
4 -0.528128 0.0 0.648335
4 -0.620692 0.0 0.666752
4 -0.666641 0.0 0.549229
4 -0.672238 0.0 0.554093
4 -0.642637 0.0 0.473999
4 -0.52917 0.0 0.505307
4 -0.527837 0.0 0.489866
5 -0.277604 0.0 0.502329
5 -0.257206 0.0 0.56501
5 -0.25743 0.0 0.58742
5 -0.229096 0.0 0.686596
5 -0.261629 0.0 0.660078
5 -0.261789 0.0 0.641013
5 -0.356116 0.0 0.558072
5 -0.404205 0.0 0.496514
5 -0.412695 0.0 0.504441
5 -0.33482 0.0 0.443155
5 -0.305604 0.0 0.465257
5 -0.208683 0.0 0.434807
5 -0.143401 0.0 0.438583
5 -0.0969427 0.0 0.501038
5 -0.151992 0.0 0.496338
5 -0.141005 0.0 0.542137
6 -0.180798 0.0 0.513371
6 -0.198682 0.0 0.439308
6 -0.21812 0.0 0.385777
6 -0.223464 0.0 0.32804
6 -0.149961 0.0 0.230271
6 -0.119776 0.0 0.220188
6 -0.0437548 0.0 0.14137
6 0.0600059 0.0 0.117391
6 0.0967783 0.0 0.150703
6 0.163409 0.0 0.115288
6 0.253895 0.0 0.076798
6 0.243919 0.0 0.0910639
6 0.394188 0.0 0.15138
6 0.466186 0.0 0.210082
6 0.521893 0.0 0.230882
6 0.612572 0.0 0.317065
7 0.612213 0.0 0.425474
7 0.683059 0.0 0.392694
7 0.679614 0.0 0.242799
7 0.72421 0.0 0.184874
7 0.727552 0.0 0.189712
7 0.684052 0.0 0.0821822
7 0.737344 0.0 0.00161147
