#Evaluation x y z
0 0.020005 0.0 -0.0228938
0 0.0261578 0.0 -0.0245078
0 0.0142172 0.0 -0.0496272
0 0.0129292 0.0 -0.0463041
0 0.0151784 0.0 -0.0628527
0 -0.00419543 0.0 -0.0812063
0 -0.0204092 0.0 -0.0653589
0 -0.0176545 0.0 -0.0713455
0 -0.0317154 0.0 -0.0755221
0 -0.0472965 0.0 -0.0695954
0 -0.0488888 0.0 -0.0685187
0 -0.0685726 0.0 -0.0687065
0 -0.102393 0.0 -0.0516984
0 -0.116427 0.0 -0.0522887
0 -0.123747 0.0 -0.0486176
0 -0.159217 0.0 -0.031502
1 -0.11913 0.0 -0.0161293
1 -0.0698262 0.0 0.0190269
1 -0.0556383 0.0 0.0263717
1 -0.00406273 0.0 0.0874209
1 0.0325558 0.0 0.135658
1 0.0568498 0.0 0.136994
1 0.0945673 0.0 0.205646
1 0.11588 0.0 0.267357
1 0.104 0.0 0.265254
1 0.0931914 0.0 0.360997
1 0.0757794 0.0 0.392411
1 0.0716791 0.0 0.399997
1 0.0249769 0.0 0.466669
1 -0.0308685 0.0 0.499752
1 -0.03928 0.0 0.499762
1 -0.102338 0.0 0.544085
#Evaluation x y z
