#Evaluation x y z
0 3.00512 0.0 -2.94912
0 3.00553 0.0 -2.96667
0 2.99707 0.0 -2.98925
0 2.99428 0.0 -2.92932
0 2.99291 0.0 -2.94205
0 2.99031 0.0 -2.96808
0 2.99794 0.0 -2.89014
0 2.98279 0.0 -2.93286
0 2.97725 0.0 -2.92624
0 2.9863 0.0 -2.85226
0 2.97091 0.0 -2.86978
0 2.96317 0.0 -2.86383
0 2.98732 0.0 -2.79543
0 2.96983 0.0 -2.83873
0 2.96743 0.0 -2.83643
0 2.98595 0.0 -2.77647
1 2.99132 0.0 -2.82718
1 2.99281 0.0 -2.80516
1 2.98112 0.0 -2.89505
1 3.0128 0.0 -2.87816
1 3.0168 0.0 -2.85923
1 2.99121 0.0 -2.93744
1 3.03078 0.0 -2.88589
1 3.02093 0.0 -2.88075
1 2.99877 0.0 -2.96006
1 3.0463 0.0 -2.90652
1 3.02496 0.0 -2.91908
1 2.99722 0.0 -2.98924
1 3.06119 0.0 -2.93235
1 3.02747 0.0 -2.95401
1 3.00935 0.0 -3.00622
1 3.06346 0.0 -2.95377
2 3.05884 0.0 -2.98275
2 3.09812 0.0 -2.94245
2 3.04393 0.0 -2.98692
2 3.11776 0.0 -2.98105
2 3.17479 0.0 -2.96313
2 3.11763 0.0 -3.01634
2 3.1594 0.0 -3.00995
2 3.15847 0.0 -3.01327
2 3.11707 0.0 -3.06967
2 3.18457 0.0 -3.04343
2 3.20571 0.0 -3.04158
2 3.18616 0.0 -3.08147
2 3.25213 0.0 -3.07651
2 3.25504 0.0 -3.07856
2 3.22586 0.0 -3.12254
2 3.31936 0.0 -3.09776
3 3.36576 0.0 -3.14792
3 3.41271 0.0 -3.13029
3 3.34239 0.0 -3.18366
3 3.42213 0.0 -3.18358
3 3.41774 0.0 -3.17414
3 3.34627 0.0 -3.24977
3 3.4275 0.0 -3.23697
3 3.43039 0.0 -3.22207
3 3.37305 0.0 -3.28729
3 3.47127 0.0 -3.24955
3 3.45035 0.0 -3.23919
3 3.40287 0.0 -3.30814
3 3.48355 0.0 -3.27269
3 3.46372 0.0 -3.27162
3 3.434 0.0 -3.33891
3 3.49406 0.0 -3.30673
4 3.50051 0.0 -3.32475
4 3.54312 0.0 -3.28776
4 3.52186 0.0 -3.31914
4 3.61305 0.0 -3.30444
4 3.67643 0.0 -3.27868
4 3.67949 0.0 -3.27595
4 3.7697 0.0 -3.31448
4 3.82893 0.0 -3.33091
4 3.8043 0.0 -3.32232
4 3.85268 0.0 -3.4112
4 3.86351 0.0 -3.41121
4 3.85526 0.0 -3.43702
4 3.85948 0.0 -3.53439
4 3.87678 0.0 -3.58659
4 3.856 0.0 -3.60599
4 3.806 0.0 -3.68951
5 3.79535 0.0 -3.70824
5 3.75906 0.0 -3.72998
5 3.80368 0.0 -3.66883
5 3.76632 0.0 -3.69073
5 3.76571 0.0 -3.6853
5 3.79679 0.0 -3.6166
5 3.70942 0.0 -3.63811
5 3.71015 0.0 -3.66079
5 3.73611 0.0 -3.59741
5 3.69518 0.0 -3.64892
5 3.72754 0.0 -3.62511
5 3.75275 0.0 -3.54695
5 3.70853 0.0 -3.59728
5 3.72358 0.0 -3.58079
5 3.73612 0.0 -3.52669
5 3.69645 0.0 -3.57714
6 3.697 0.0 -3.53283
6 3.65214 0.0 -3.54678
6 3.6802 0.0 -3.50862
6 3.60393 0.0 -3.5251
6 3.55486 0.0 -3.51758
6 3.60458 0.0 -3.47727
6 3.49381 0.0 -3.4552
6 3.43357 0.0 -3.44612
6 3.51083 0.0 -3.47136
6 3.41565 0.0 -3.42975
6 3.41093 0.0 -3.41702
6 3.43244 0.0 -3.38631
6 3.40332 0.0 -3.32695
6 3.39319 0.0 -3.29393
6 3.41835 0.0 -3.31273
6 3.42772 0.0 -3.19882
7 3.44759 0.0 -3.18255
7 3.43814 0.0 -3.15531
7 3.42622 0.0 -3.21776
7 3.47492 0.0 -3.17502
7 3.46861 0.0 -3.14686
7 3.46865 0.0 -3.22312
7 3.52839 0.0 -3.15987
7 3.51437 0.0 -3.16368
7 3.51191 0.0 -3.23306
7 3.62773 0.0 -3.17575
7 3.67913 0.0 -3.12089
7 3.67798 0.0 -3.13462
7 3.77894 0.0 -3.1784
7 3.78125 0.0 -3.17982
7 3.74611 0.0 -3.18797
7 3.77035 0.0 -3.25713
8 3.76601 0.0 -3.26724
8 3.75987 0.0 -3.24765
8 3.72057 0.0 -3.20324
8 3.75648 0.0 -3.22767
8 3.77649 0.0 -3.20438
8 3.70341 0.0 -3.16672
8 3.74155 0.0 -3.18342
8 3.74128 0.0 -3.15376
8 3.70418 0.0 -3.12834
8 3.79325 0.0 -3.15995
8 3.79956 0.0 -3.15636
8 3.789 0.0 -3.1299
8 3.85672 0.0 -3.17393
8 3.87398 0.0 -3.13814
8 3.87427 0.0 -3.10323
8 3.90686 0.0 -3.15233
9 3.90047 0.0 -3.20261
9 3.90235 0.0 -3.23635
9 3.90257 0.0 -3.25061
9 3.84956 0.0 -3.35819
9 3.85135 0.0 -3.36383
9 3.83797 0.0 -3.33398
9 3.75349 0.0 -3.39921
9 3.77935 0.0 -3.39518
9 3.76734 0.0 -3.37602
9 3.67858 0.0 -3.41112
9 3.70363 0.0 -3.41218
9 3.66987 0.0 -3.41065
9 3.5753 0.0 -3.43589
9 3.61069 0.0 -3.46495
9 3.55732 0.0 -3.45729
9 3.41537 0.0 -3.39356
10 3.4969 0.0 -3.38556
10 3.43208 0.0 -3.38411
10 3.48096 0.0 -3.37471
10 3.45407 0.0 -3.34561
10 3.38393 0.0 -3.33692
10 3.47202 0.0 -3.34293
10 3.41477 0.0 -3.28394
10 3.36065 0.0 -3.27317
10 3.43931 0.0 -3.29841
10 3.37362 0.0 -3.2324
10 3.34856 0.0 -3.24001
10 3.40472 0.0 -3.26337
10 3.36762 0.0 -3.18005
10 3.34554 0.0 -3.20508
10 3.40877 0.0 -3.23838
10 3.37003 0.0 -3.15355
11 3.35855 0.0 -3.0865
11 3.3758 0.0 -3.04124
11 3.38798 0.0 -3.02537
11 3.42292 0.0 -2.91648
11 3.45286 0.0 -2.90449
11 3.4704 0.0 -2.94285
11 3.54452 0.0 -2.89791
11 3.54387 0.0 -2.91832
11 3.55611 0.0 -2.93936
11 3.68972 0.0 -2.91111
11 3.69178 0.0 -2.92014
11 3.6971 0.0 -2.96563
11 3.83345 0.0 -3.04869
11 3.80512 0.0 -3.03961
11 3.80379 0.0 -3.08866
11 3.8421 0.0 -3.21791
12 3.84358 0.0 -3.28347
12 3.83887 0.0 -3.30481
12 3.84218 0.0 -3.26544
12 3.79334 0.0 -3.36525
12 3.79655 0.0 -3.37077
12 3.80458 0.0 -3.34618
12 3.76225 0.0 -3.40967
12 3.77097 0.0 -3.36638
12 3.75497 0.0 -3.36316
12 3.72235 0.0 -3.43217
12 3.72844 0.0 -3.40367
12 3.7147 0.0 -3.40603
12 3.6683 0.0 -3.45704
12 3.71354 0.0 -3.42463
12 3.69385 0.0 -3.41276
