#Evaluation x y z
0 2.98637 0.0 -2.96617
0 3.00545 0.0 -2.95823
0 3.02323 0.0 -2.95226
0 3.00649 0.0 -2.95948
0 3.0168 0.0 -2.95443
0 3.01519 0.0 -2.95064
0 2.99479 0.0 -2.95948
0 3.01915 0.0 -2.95436
0 3.02751 0.0 -2.94933
0 3.00417 0.0 -2.9575
0 3.02401 0.0 -2.94782
0 3.02028 0.0 -2.94623
0 3.00055 0.0 -2.95596
0 3.0298 0.0 -2.94445
0 3.03096 0.0 -2.94441
0 3.01378 0.0 -2.95232
1 3.01963 0.0 -2.98366
1 3.01271 0.0 -2.96609
1 3.02236 0.0 -2.93518
1 2.98202 0.0 -2.97843
1 2.98208 0.0 -2.937
1 3.00025 0.0 -2.93378
1 2.96382 0.0 -2.97428
1 2.97471 0.0 -2.93142
1 2.98437 0.0 -2.91266
1 2.91805 0.0 -2.94641
1 2.92716 0.0 -2.89045
1 2.92701 0.0 -2.87979
1 2.89691 0.0 -2.92178
1 2.91584 0.0 -2.88721
1 2.90488 0.0 -2.88672
1 2.87672 0.0 -2.90173
