#Evaluation x y z
0 2.97916 0.0 3.25376
0 2.97212 0.0 3.26257
0 2.97106 0.0 3.26323
0 2.96591 0.0 3.26194
0 2.97348 0.0 3.26616
0 2.97117 0.0 3.26864
0 2.96235 0.0 3.26552
0 2.97361 0.0 3.27643
0 2.97306 0.0 3.2752
0 2.96551 0.0 3.27177
0 2.97488 0.0 3.28169
0 2.97553 0.0 3.28561
0 2.96494 0.0 3.27704
0 2.97219 0.0 3.28486
0 2.97376 0.0 3.29179
0 2.96233 0.0 3.28515
1 2.95994 0.0 3.30483
1 2.94077 0.0 3.31156
1 2.96272 0.0 3.31348
1 2.95089 0.0 3.32222
1 2.93052 0.0 3.31348
1 2.93618 0.0 3.30618
1 2.93642 0.0 3.31012
1 2.91925 0.0 3.29708
1 2.92214 0.0 3.30769
1 2.908 0.0 3.32071
1 2.89662 0.0 3.30658
1 2.90061 0.0 3.3249
1 2.90002 0.0 3.32188
1 2.8891 0.0 3.31643
1 2.89305 0.0 3.33341
1 2.89109 0.0 3.34009
