#Evaluation x y z
0 -3.17812 0.0 -3.03036
0 -3.08691 0.0 -2.99814
0 -2.98909 0.0 -2.9561
0 -3.0897 0.0 -3.08494
0 -2.90957 0.0 -2.90476
0 -2.85749 0.0 -2.82431
0 -2.92689 0.0 -3.01269
0 -2.86744 0.0 -2.79781
0 -2.88027 0.0 -2.8028
0 -2.88206 0.0 -2.93687
0 -2.86266 0.0 -2.71511
0 -2.85599 0.0 -2.83111
0 -2.80414 0.0 -2.92244
0 -2.92341 0.0 -2.68929
0 -2.88414 0.0 -2.75947
0 -2.79017 0.0 -2.80544
1 -3.0578 0.0 -2.6541
1 -3.20458 0.0 -2.59168
1 -3.15893 0.0 -2.57594
1 -3.23647 0.0 -2.57719
1 -3.23088 0.0 -2.59495
1 -3.21391 0.0 -2.5945
1 -3.37106 0.0 -2.64405
1 -3.40363 0.0 -2.66246
1 -3.32199 0.0 -2.63872
1 -3.4782 0.0 -2.74608
1 -3.44254 0.0 -2.749
1 -3.41448 0.0 -2.74288
1 -3.52884 0.0 -2.84724
1 -3.49288 0.0 -2.84978
1 -3.49161 0.0 -2.85534
1 -3.52927 0.0 -2.98397
