#Evaluation x y z
0 -0.00367648 0.0 0.0104595
0 0.000938069 0.0 0.0401427
0 -0.00274792 0.0 0.0855777
0 -0.00098169 0.0 -0.000265129
0 0.00904915 0.0 0.0366814
0 0.0101156 0.0 0.0711037
0 -0.00721383 0.0 -0.0107728
0 0.0127385 0.0 0.0369852
0 0.0168353 0.0 0.0565507
0 -0.011728 0.0 -0.0144607
0 0.0158121 0.0 0.0413814
0 0.0185356 0.0 0.0446547
0 -0.0120935 0.0 -0.0160729
0 0.0217984 0.0 0.0466646
0 0.020574 0.0 0.0393451
0 -0.00980287 0.0 -0.0145007
1 -0.0200933 0.0 -0.0151843
1 -0.0661459 0.0 -0.0346859
1 -0.279095 0.0 -0.030294
1 -0.234129 0.0 -0.0632898
1 -0.244002 0.0 -0.0715382
1 -0.325822 0.0 -0.0299283
1 -0.243178 0.0 -0.0712939
1 -0.35475 0.0 -0.0573378
1 -0.449279 0.0 0.0241671
1 -0.414076 0.0 -0.0305856
1 -0.48812 0.0 0.025499
1 -0.531786 0.0 0.125232
1 -0.54345 0.0 0.0988512
1 -0.585912 0.0 0.197616
1 -0.555884 0.0 0.309542
1 -0.573454 0.0 0.335712
