#Evaluation x y z
0 -3.02922 0.0 -2.98754
0 -3.00458 0.0 -2.99797
0 -3.01573 0.0 -3.0003
0 -3.03389 0.0 -3.00684
0 -3.00464 0.0 -3.02475
0 -3.05083 0.0 -3.02543
0 -3.07952 0.0 -2.97263
0 -3.03656 0.0 -3.00108
0 -3.07926 0.0 -2.99245
0 -3.1709 0.0 -2.94489
0 -3.09349 0.0 -2.9773
0 -3.10302 0.0 -3.004
0 -3.20664 0.0 -2.95212
0 -3.12818 0.0 -2.98164
0 -3.16326 0.0 -2.99755
0 -3.26353 0.0 -2.96345
1 -3.4721 0.0 -2.90322
1 -3.56598 0.0 -2.90017
1 -3.49227 0.0 -2.9339
1 -3.36811 0.0 -3.03416
1 -3.45494 0.0 -3.01987
1 -3.36504 0.0 -3.07831
1 -3.27259 0.0 -3.14482
1 -3.38312 0.0 -3.13623
1 -3.27465 0.0 -3.21059
1 -3.15765 0.0 -3.24814
1 -3.26328 0.0 -3.21995
1 -3.16782 0.0 -3.30961
1 -2.99026 0.0 -3.36135
1 -3.09157 0.0 -3.35864
1 -2.99194 0.0 -3.4251
1 -2.78339 0.0 -3.40615
#Evaluation x y z
