#Evaluation x y z
0 -0.00230289 0.0 0.0496077
0 -0.00596133 0.0 0.0469361
0 0.00584744 0.0 0.0972051
0 -0.0215819 0.0 0.00227696
0 -0.00936677 0.0 0.023739
0 0.00283426 0.0 0.0585646
0 -0.0380675 0.0 -0.005944
0 -0.0149401 0.0 0.0144492
0 0.0127497 0.0 0.0325197
0 -0.0477442 0.0 -0.0323323
0 -0.0241059 0.0 -0.0198054
0 -0.0596019 0.0 -0.0352562
0 -0.118366 0.0 -0.0428255
0 -0.0750094 0.0 -0.0435642
0 -0.123505 0.0 -0.0464082
0 -0.146219 0.0 -0.0458629
1 -0.186199 0.0 -0.0152023
1 -0.147124 0.0 -0.0213362
1 -0.0416461 0.0 -0.0488319
1 -0.0999664 0.0 -0.0549318
1 -0.062998 0.0 -0.0641698
1 -0.00337947 0.0 -0.0685767
1 -0.112515 0.0 -0.0454705
1 -0.0823827 0.0 -0.0596925
1 0.0178482 0.0 -0.0955245
1 -0.0674028 0.0 -0.0761614
1 -0.0333547 0.0 -0.0935338
1 -0.00528201 0.0 -0.1112
1 -0.0808593 0.0 -0.0862921
