#Evaluation x y z
0 -3.02596 0.0 -2.98068
0 -3.14156 0.0 -3.02979
0 -3.20214 0.0 -3.08205
0 -3.13926 0.0 -3.03551
0 -3.21444 0.0 -3.09007
0 -3.25141 0.0 -3.12002
0 -3.21522 0.0 -3.08026
0 -3.33372 0.0 -3.17448
0 -3.37508 0.0 -3.21469
0 -3.30952 0.0 -3.14539
0 -3.4147 0.0 -3.24724
0 -3.42183 0.0 -3.27994
0 -3.38928 0.0 -3.20835
0 -3.4493 0.0 -3.34281
0 -3.43385 0.0 -3.32356
0 -3.43744 0.0 -3.27782
1 -3.43947 0.0 -3.31491
1 -3.43688 0.0 -3.30968
1 -3.41127 0.0 -3.34327
1 -3.33402 0.0 -3.21036
1 -3.33625 0.0 -3.20364
1 -3.30456 0.0 -3.17412
1 -3.21522 0.0 -3.02926
1 -3.22814 0.0 -3.02943
1 -3.2215 0.0 -2.98225
1 -3.17497 0.0 -2.87737
1 -3.1936 0.0 -2.92741
1 -3.14791 0.0 -2.84004
1 -3.0746 0.0 -2.72481
1 -3.09816 0.0 -2.75332
1 -2.98958 0.0 -2.63296
1 -2.91667 0.0 -2.54166
#Evaluation x y z
