#Evaluation x y z
0 0.0893858 0.0 0.0453701
0 0.080502 0.0 0.00677083
0 0.0696101 0.0 -0.00464795
0 0.074461 0.0 0.0178184
0 0.0644503 0.0 -0.00499643
0 0.0536614 0.0 -0.0146142
0 0.0721412 0.0 0.0043248
0 0.0647157 0.0 -0.0146306
0 0.0546517 0.0 -0.0214854
0 0.0669624 0.0 -0.0107171
0 0.0570109 0.0 -0.0307035
0 0.0428311 0.0 -0.0382044
0 0.0635762 0.0 -0.0300036
0 0.0743516 0.0 -0.0547924
0 0.0600746 0.0 -0.0544451
0 0.077278 0.0 -0.0479389
1 0.0522053 0.0 -0.0857632
1 0.0507205 0.0 -0.0889897
1 0.0451648 0.0 -0.0945503
1 0.0592054 0.0 -0.0882644
1 0.0513436 0.0 -0.0561735
1 0.0530956 0.0 -0.0730213
1 0.0616813 0.0 -0.0388577
1 0.0665463 0.0 -0.0319685
1 0.0594444 0.0 -0.0551449
1 0.0610337 0.0 -0.0117257
1 0.0696817 0.0 0.00391024
1 0.063927 0.0 -0.0162561
1 0.0691417 0.0 0.00638492
1 0.066857 0.0 0.0171684
1 0.0727206 0.0 0.00190379
