#Evaluation x y z
0 -3.02021 0.0 3.11974
0 -3.01611 0.0 3.10464
0 -2.9925 0.0 3.10708
0 -3.04478 0.0 3.09913
0 -3.04409 0.0 3.09222
0 -3.02857 0.0 3.09068
0 -3.06498 0.0 3.07992
0 -3.05489 0.0 3.07214
0 -3.05911 0.0 3.07275
0 -3.11894 0.0 3.06018
0 -3.11807 0.0 3.05747
0 -3.11281 0.0 3.05698
0 -3.15875 0.0 3.04968
0 -3.16267 0.0 3.04868
0 -3.15899 0.0 3.0462
0 -3.20433 0.0 3.03274
1 -3.25305 0.0 3.03857
1 -3.32418 0.0 3.00943
1 -3.32292 0.0 3.00227
1 -3.32383 0.0 3.0036
1 -3.32383 0.0 3.00346
1 -3.32521 0.0 3.00208
1 -3.32777 0.0 3.00479
1 -3.32813 0.0 2.98135
1 -3.35406 0.0 2.93286
1 -3.42961 0.0 3.01117
1 -3.42741 0.0 3.02816
1 -3.44856 0.0 3.06881
1 -3.44613 0.0 3.07079
1 -3.44811 0.0 3.06941
1 -3.46492 0.0 3.07368
1 -3.50056 0.0 3.15118
