#Evaluation x y z
0 -5.09709 0.0 -4.99441
0 -4.9919 0.0 -4.99813
0 -4.95707 0.0 -4.99962
0 -5.03758 0.0 -5.04929
0 -4.99914 0.0 -5.08904
0 -4.99266 0.0 -5.07478
0 -5.11441 0.0 -5.22162
0 -5.04054 0.0 -5.155
0 -5.05977 0.0 -5.14912
0 -5.1615 0.0 -5.25093
0 -5.08309 0.0 -5.18176
0 -5.08514 0.0 -5.18295
0 -5.2071 0.0 -5.32471
0 -5.14837 0.0 -5.28134
0 -5.17033 0.0 -5.3262
0 -5.28957 0.0 -5.4768
1 -5.31112 0.0 -5.34638
1 -5.25057 0.0 -5.41932
1 -5.32272 0.0 -5.47479
1 -5.38781 0.0 -5.53235
1 -5.32461 0.0 -5.57306
1 -5.40736 0.0 -5.6441
1 -5.45563 0.0 -5.69475
1 -5.40668 0.0 -5.72054
1 -5.49688 0.0 -5.78888
1 -5.51234 0.0 -5.84959
