#Evaluation x y z
0 -0.0516749 0.0 3.00377
0 -0.0807084 0.0 3.00402
0 -0.0954588 0.0 3.02416
0 -0.0538207 0.0 3.02713
0 -0.0906346 0.0 3.02957
0 -0.102542 0.0 3.03431
0 -0.0633645 0.0 3.04121
0 -0.098208 0.0 3.04137
0 -0.105252 0.0 3.04741
0 -0.064632 0.0 3.05563
0 -0.101624 0.0 3.05341
0 -0.107758 0.0 3.05815
0 -0.0779857 0.0 3.08349
0 -0.121858 0.0 3.07664
0 -0.115789 0.0 3.08176
0 -0.0886285 0.0 3.09815
1 -0.123917 0.0 3.07233
1 -0.213929 0.0 3.09059
1 -0.225776 0.0 3.06505
1 -0.269987 0.0 3.07449
1 -0.29859 0.0 3.1642
1 -0.325446 0.0 3.16826
1 -0.341651 0.0 3.21084
1 -0.307394 0.0 3.28029
1 -0.336352 0.0 3.30938
1 -0.289676 0.0 3.34906
1 -0.224725 0.0 3.35351
1 -0.236156 0.0 3.38138
1 -0.177599 0.0 3.38314
1 -0.11978 0.0 3.32845
1 -0.0944067 0.0 3.3277
1 -0.0717648 0.0 3.26549
