#Evaluation x y z
0 2.99751 0.0 3.24661
0 3.00255 0.0 3.24843
0 3.00334 0.0 3.24598
0 2.99259 0.0 3.24526
0 3.0032 0.0 3.24328
0 3.00679 0.0 3.24744
0 2.99426 0.0 3.24916
0 3.00551 0.0 3.24634
0 3.00469 0.0 3.24681
0 2.99715 0.0 3.24318
0 3.00988 0.0 3.24001
0 3.00756 0.0 3.24104
0 2.99569 0.0 3.23886
0 3.00927 0.0 3.23696
0 3.00967 0.0 3.23435
0 2.9962 0.0 3.23426
1 2.99078 0.0 3.22749
1 3.03173 0.0 3.24272
1 3.03485 0.0 3.23355
1 3.02618 0.0 3.22962
1 3.05738 0.0 3.23834
1 3.06052 0.0 3.22544
1 3.05675 0.0 3.24008
1 3.07876 0.0 3.26814
1 3.0845 0.0 3.25395
1 3.07383 0.0 3.27015
1 3.06909 0.0 3.29099
1 3.08542 0.0 3.27668
1 3.07256 0.0 3.29695
1 3.06239 0.0 3.31354
1 3.08819 0.0 3.31058
1 3.08098 0.0 3.332
