#Evaluation x y z
0 -0.0164294 0.0 -3.01619
0 -0.0275585 0.0 -3.02718
0 -0.0456582 0.0 -3.03855
0 -0.0329527 0.0 -3.03184
0 -0.043931 0.0 -3.04395
0 -0.0597755 0.0 -3.05119
0 -0.0492416 0.0 -3.05263
0 -0.0609182 0.0 -3.06274
0 -0.0731863 0.0 -3.07355
0 -0.0606055 0.0 -3.07678
0 -0.0772381 0.0 -3.08779
0 -0.0882214 0.0 -3.08626
0 -0.0828022 0.0 -3.09486
0 -0.105071 0.0 -3.10234
0 -0.105371 0.0 -3.10908
0 -0.0921933 0.0 -3.11705
1 -0.152055 0.0 -3.12957
1 -0.251307 0.0 -3.11928
1 -0.313312 0.0 -3.09314
1 -0.375003 0.0 -3.12206
1 -0.46594 0.0 -3.12753
1 -0.534899 0.0 -3.10692
1 -0.602217 0.0 -3.14351
1 -0.748316 0.0 -3.13995
1 -0.743572 0.0 -3.1523
1 -0.775071 0.0 -3.17469
1 -0.883057 0.0 -3.18631
1 -0.916521 0.0 -3.17013
1 -0.959732 0.0 -3.22192
1 -1.06655 0.0 -3.23406
1 -1.08592 0.0 -3.23054
1 -1.15263 0.0 -3.27468
