#Evaluation x y z
0 -0.101285 0.0 3.00647
0 -0.118131 0.0 3.00961
0 -0.153472 0.0 3.013
0 -0.114999 0.0 3.00296
0 -0.129665 0.0 3.00041
0 -0.160259 0.0 3.00282
0 -0.122925 0.0 3.00205
0 -0.154348 0.0 2.99514
0 -0.172261 0.0 2.99881
0 -0.139484 0.0 2.99519
0 -0.177719 0.0 2.98436
0 -0.182823 0.0 2.98367
0 -0.159625 0.0 2.991
0 -0.199333 0.0 2.97962
0 -0.185819 0.0 2.9775
0 -0.159498 0.0 2.99697
1 -0.130881 0.0 3.09232
1 -0.137879 0.0 3.00062
1 -0.111038 0.0 3.11684
1 -0.132029 0.0 3.15419
1 -0.128999 0.0 3.04813
1 -0.135877 0.0 3.15895
1 -0.142498 0.0 3.11932
1 -0.149896 0.0 3.0361
1 -0.179097 0.0 3.15746
1 -0.196234 0.0 3.12568
1 -0.198174 0.0 3.06755
1 -0.210387 0.0 3.14407
1 -0.205307 0.0 3.09344
1 -0.231114 0.0 3.05711
1 -0.254245 0.0 3.1617
