#Evaluation x y z
0 -2.99548 0.0 3.11977
0 -2.99027 0.0 3.1243
0 -2.98537 0.0 3.12424
0 -2.99327 0.0 3.11517
0 -2.98936 0.0 3.10906
0 -2.98721 0.0 3.10861
0 -2.99757 0.0 3.09396
0 -2.98678 0.0 3.1011
0 -2.98213 0.0 3.10149
0 -2.99812 0.0 3.08812
0 -2.98892 0.0 3.09362
0 -2.98806 0.0 3.089
0 -2.99708 0.0 3.07487
0 -2.98119 0.0 3.08617
0 -2.98278 0.0 3.08274
0 -2.99455 0.0 3.06344
1 -3.00532 0.0 3.04265
1 -2.97671 0.0 3.09664
1 -2.98975 0.0 3.10026
1 -3.05705 0.0 3.14619
1 -3.03633 0.0 3.19804
1 -3.03382 0.0 3.19883
1 -3.08332 0.0 3.24146
1 -3.02249 0.0 3.28974
1 -2.98475 0.0 3.33609
1 -3.04612 0.0 3.40072
1 -3.01033 0.0 3.40576
1 -2.99818 0.0 3.41608
1 -3.06619 0.0 3.47346
1 -3.02004 0.0 3.50483
1 -3.00696 0.0 3.54617
1 -3.06431 0.0 3.5581
