#Evaluation x y z
0 -3.04131 0.0 3.11118
0 -3.02872 0.0 3.10424
0 -3.05076 0.0 3.09482
0 -3.03858 0.0 3.10254
0 -3.02936 0.0 3.09547
0 -3.04557 0.0 3.08823
0 -3.03441 0.0 3.09506
0 -3.02895 0.0 3.08651
0 -3.04976 0.0 3.08322
0 -3.0416 0.0 3.08768
0 -3.04035 0.0 3.07729
0 -3.0404 0.0 3.07329
0 -3.03737 0.0 3.07876
0 -3.04325 0.0 3.06714
0 -3.03448 0.0 3.06604
0 -3.04107 0.0 3.07063
1 -2.95577 0.0 3.07227
1 -2.96741 0.0 3.06941
1 -2.9248 0.0 3.05642
1 -2.91841 0.0 3.04444
1 -2.95551 0.0 2.98199
1 -2.90657 0.0 3.00219
1 -2.87984 0.0 2.98747
1 -2.89194 0.0 2.94584
1 -2.87228 0.0 2.97659
1 -2.84822 0.0 2.94846
1 -2.8447 0.0 2.90078
1 -2.81272 0.0 2.95077
1 -2.79537 0.0 2.90696
1 -2.80322 0.0 2.84956
1 -2.76681 0.0 2.92783
1 -2.74502 0.0 2.88173
