#Evaluation x y z
0 -2.96622 0.0 -2.55191
0 -2.96287 0.0 -2.55622
0 -2.96593 0.0 -2.56548
0 -2.95292 0.0 -2.54261
0 -2.95209 0.0 -2.55157
0 -2.95309 0.0 -2.56289
0 -2.94621 0.0 -2.53892
0 -2.94175 0.0 -2.54931
0 -2.94048 0.0 -2.55157
0 -2.92559 0.0 -2.53416
0 -2.92652 0.0 -2.54602
0 -2.92611 0.0 -2.54919
0 -2.92263 0.0 -2.53367
0 -2.92259 0.0 -2.54778
0 -2.91539 0.0 -2.54446
0 -2.90969 0.0 -2.52814
1 -2.9016 0.0 -2.54123
1 -2.89512 0.0 -2.54463
1 -2.87972 0.0 -2.54882
1 -2.86721 0.0 -2.5415
1 -2.86038 0.0 -2.57012
1 -2.84166 0.0 -2.56974
1 -2.83704 0.0 -2.55756
1 -2.83162 0.0 -2.58957
1 -2.81005 0.0 -2.59379
1 -2.80936 0.0 -2.57278
1 -2.80438 0.0 -2.604
1 -2.79074 0.0 -2.57978
1 -2.7994 0.0 -2.56219
1 -2.80374 0.0 -2.56697
1 -2.80958 0.0 -2.53083
1 -2.80907 0.0 -2.51417
