#Evaluation x y z
0 2.94446 0.0 3.23881
0 2.96351 0.0 3.24174
0 2.9801 0.0 3.24514
0 2.93537 0.0 3.22685
0 2.95591 0.0 3.23102
0 2.96852 0.0 3.22996
0 2.93224 0.0 3.21451
0 2.96399 0.0 3.22064
0 2.97472 0.0 3.22161
0 2.93438 0.0 3.20543
0 2.96679 0.0 3.214
0 2.96645 0.0 3.21011
0 2.92793 0.0 3.19419
0 2.96723 0.0 3.20306
0 2.96961 0.0 3.20012
0 2.9335 0.0 3.18545
1 2.94222 0.0 3.12606
1 3.00829 0.0 3.15397
1 3.04543 0.0 3.13189
1 3.00656 0.0 3.10506
1 3.12221 0.0 3.10937
1 3.17021 0.0 3.07834
1 3.14154 0.0 3.05058
1 3.28342 0.0 3.03905
1 3.24099 0.0 3.00639
1 3.19518 0.0 3.01061
1 3.29459 0.0 2.99675
1 3.21568 0.0 3.00226
1 3.2034 0.0 3.02027
1 3.23436 0.0 2.98345
1 3.17772 0.0 2.98055
1 3.17623 0.0 2.9801
2 3.13193 0.0 3.03655
2 3.14085 0.0 2.83133
2 3.02543 0.0 2.99495
2 2.92266 0.0 3.01569
2 2.85335 0.0 2.80973
2 2.81553 0.0 2.88011
2 2.89457 0.0 2.99914
2 2.68527 0.0 2.91464
2 2.64135 0.0 3.00425
2 2.77506 0.0 3.0154
2 2.59228 0.0 3.09885
2 2.65633 0.0 3.1887
2 2.80639 0.0 3.13511
2 2.74717 0.0 3.2897
2 2.85187 0.0 3.30195
2 2.86431 0.0 3.2696
3 2.88315 0.0 3.29678
3 2.87504 0.0 3.42208
3 2.92071 0.0 3.47963
3 2.89467 0.0 3.35433
3 2.91106 0.0 3.47937
3 2.96919 0.0 3.4759
3 2.87583 0.0 3.37921
3 3.00726 0.0 3.47656
3 3.03032 0.0 3.41478
3 2.90716 0.0 3.37154
3 3.02786 0.0 3.38903
3 3.01249 0.0 3.32636
3 2.87763 0.0 3.36077
3 3.04392 0.0 3.3383
3 3.01265 0.0 3.27279
3 2.94005 0.0 3.33673
4 2.90813 0.0 3.31812
4 2.92278 0.0 3.15346
4 2.83803 0.0 3.21798
4 2.84076 0.0 3.29061
4 2.71671 0.0 3.36053
4 2.78091 0.0 3.44218
4 2.82284 0.0 3.39743
4 2.95676 0.0 3.4754
4 2.97604 0.0 3.36288
4 2.9212 0.0 3.33324
4 2.94609 0.0 3.18707
4 2.8594 0.0 3.28162
4 2.80581 0.0 3.24333
4 2.70957 0.0 3.28542
4 2.81222 0.0 3.35577
4 2.76847 0.0 3.39933
5 2.73214 0.0 3.42696
5 2.88943 0.0 3.39758
5 2.80844 0.0 3.31161
5 2.74922 0.0 3.38203
5 2.68672 0.0 3.25217
5 2.68797 0.0 3.32385
5 2.78668 0.0 3.35956
5 2.72686 0.0 3.49503
5 2.81023 0.0 3.46413
5 2.80147 0.0 3.41873
5 2.91846 0.0 3.39966
5 2.82256 0.0 3.34052
5 2.80157 0.0 3.34354
5 2.7077 0.0 3.29663
5 2.76384 0.0 3.40477
5 2.77689 0.0 3.43173
6 2.88234 0.0 3.39201
6 2.91333 0.0 3.48469
6 2.93756 0.0 3.41372
6 2.88327 0.0 3.32367
6 3.01011 0.0 3.28344
6 2.95829 0.0 3.22911
6 2.90868 0.0 3.25325
6 2.86622 0.0 3.16185
6 2.8457 0.0 3.2533
6 2.9017 0.0 3.28623
