#Evaluation x y z
0 2.9157 0.0 3.2516
0 2.9291 0.0 3.24622
0 2.93499 0.0 3.22884
0 2.92098 0.0 3.25425
0 2.93667 0.0 3.24442
0 2.94293 0.0 3.23146
0 2.93121 0.0 3.24963
0 2.94888 0.0 3.23917
0 2.95418 0.0 3.23127
0 2.941 0.0 3.24712
0 2.96021 0.0 3.23476
0 2.9649 0.0 3.23095
0 2.95134 0.0 3.24555
0 2.97066 0.0 3.229
0 2.97282 0.0 3.22605
0 2.95993 0.0 3.23855
1 2.86389 0.0 3.28102
1 2.84202 0.0 3.26312
1 2.80026 0.0 3.22144
1 2.78154 0.0 3.222
1 2.75006 0.0 3.23548
1 2.71504 0.0 3.21525
1 2.66147 0.0 3.23749
1 2.61216 0.0 3.22864
1 2.62649 0.0 3.25414
1 2.60982 0.0 3.24015
1 2.58444 0.0 3.22879
1 2.58223 0.0 3.24007
1 2.52174 0.0 3.20215
1 2.49215 0.0 3.18594
1 2.45791 0.0 3.2315
