#Evaluation x y z
0 -3.03467 0.0 -3.00938
0 -3.20946 0.0 -2.99345
0 -3.19511 0.0 -3.00625
0 -3.23774 0.0 -3.02699
0 -3.2195 0.0 -3.02483
0 -3.18632 0.0 -3.02418
0 -3.25323 0.0 -3.03925
0 -3.27309 0.0 -3.00889
0 -3.24435 0.0 -3.01556
0 -3.29844 0.0 -3.02759
0 -3.30897 0.0 -3.00098
0 -3.31468 0.0 -3.01365
0 -3.33258 0.0 -3.03947
0 -3.33457 0.0 -3.01065
0 -3.33692 0.0 -3.02405
0 -3.4025 0.0 -3.01194
1 -3.36205 0.0 -3.05449
1 -3.31042 0.0 -3.3029
1 -3.3263 0.0 -3.35453
1 -3.41303 0.0 -3.52877
1 -3.55156 0.0 -3.62413
1 -3.57657 0.0 -3.58508
1 -3.76198 0.0 -3.67323
1 -3.79656 0.0 -3.64985
1 -3.90578 0.0 -3.67525
1 -4.12132 0.0 -3.61056
1 -4.13522 0.0 -3.54121
1 -4.33406 0.0 -3.42841
1 -4.3983 0.0 -3.29873
1 -4.33135 0.0 -3.33757
1 -4.27324 0.0 -3.34569
1 -4.32953 0.0 -3.21977
#Evaluation x y z
