#Evaluation x y z
0 -0.00478141 0.0 -0.0103063
0 -0.0068028 0.0 -0.0236383
0 -0.0156816 0.0 -0.0408894
0 -0.0101789 0.0 -0.0133347
0 -0.00908099 0.0 -0.0332849
0 -0.0160577 0.0 -0.0499976
0 -0.0118483 0.0 -0.0249928
0 -0.0135283 0.0 -0.0461879
0 -0.0174646 0.0 -0.052056
0 -0.0158465 0.0 -0.027823
0 -0.0165113 0.0 -0.0516961
0 -0.0183133 0.0 -0.0540862
0 -0.018206 0.0 -0.0292406
0 -0.0200384 0.0 -0.0583586
0 -0.020924 0.0 -0.0559471
0 -0.0195976 0.0 -0.0380446
1 -0.0479678 0.0 -0.0461161
1 -0.101634 0.0 0.00942175
1 -0.0712109 0.0 -0.0963092
1 -0.0928673 0.0 -0.0684315
1 -0.146093 0.0 -0.0317781
1 -0.12117 0.0 -0.141136
1 -0.18029 0.0 -0.109128
1 -0.215335 0.0 -0.0855938
1 -0.172163 0.0 -0.170903
1 -0.237336 0.0 -0.135888
1 -0.244463 0.0 -0.123729
1 -0.217186 0.0 -0.218631
1 -0.28655 0.0 -0.181515
1 -0.297606 0.0 -0.190089
1 -0.297826 0.0 -0.276625
1 -0.356632 0.0 -0.226055
