#Evaluation x y z
0 -2.99493 0.0 3.10966
0 -3.0101 0.0 3.10862
0 -3.03931 0.0 3.11006
0 -2.99403 0.0 3.11001
0 -3.02094 0.0 3.08821
0 -3.04531 0.0 3.09124
0 -3.00185 0.0 3.08734
0 -3.03502 0.0 3.08697
0 -3.0527 0.0 3.08876
0 -3.01267 0.0 3.08912
0 -3.05782 0.0 3.08342
0 -3.05785 0.0 3.08485
0 -3.01767 0.0 3.08554
0 -3.06041 0.0 3.08239
0 -3.05975 0.0 3.08161
0 -3.02453 0.0 3.08306
1 -3.07642 0.0 3.0793
1 -3.03631 0.0 3.08876
1 -3.05831 0.0 3.08597
1 -3.0721 0.0 3.08787
1 -3.0409 0.0 3.0908
1 -3.06972 0.0 3.09238
1 -3.07758 0.0 3.09496
1 -3.04725 0.0 3.08762
1 -3.07329 0.0 3.09626
1 -3.07194 0.0 3.09882
1 -3.04694 0.0 3.0858
1 -3.07224 0.0 3.10187
1 -3.06336 0.0 3.10195
1 -3.04752 0.0 3.09196
1 -3.07339 0.0 3.11132
