#Evaluation x y z
0 -0.109616 0.0 3.01344
0 -0.10353 0.0 3.00585
0 -0.0778223 0.0 3.00936
0 -0.125375 0.0 3.00981
0 -0.108081 0.0 3.006
0 -0.108489 0.0 3.0063
0 -0.141125 0.0 3.00071
0 -0.109657 0.0 2.99803
0 -0.104621 0.0 3.00254
0 -0.140722 0.0 2.99689
0 -0.103371 0.0 2.99691
0 -0.111265 0.0 3.00021
0 -0.142154 0.0 2.98922
0 -0.109871 0.0 3.00172
0 -0.117133 0.0 3.00417
0 -0.148532 0.0 2.99447
1 -0.203382 0.0 2.97944
1 -0.171406 0.0 3.02104
1 -0.215935 0.0 3.00213
1 -0.218516 0.0 3.00242
1 -0.210323 0.0 3.03491
1 -0.270853 0.0 2.98955
1 -0.276078 0.0 3.0036
1 -0.278175 0.0 3.0278
1 -0.342882 0.0 2.98802
1 -0.324479 0.0 3.01355
1 -0.332747 0.0 3.01885
1 -0.377956 0.0 2.9974
1 -0.350853 0.0 3.03667
