#Evaluation x y z
0 -3.00491 0.0 3.10373
0 -3.00162 0.0 3.09716
0 -2.99558 0.0 3.08938
0 -3.00069 0.0 3.09724
0 -2.99783 0.0 3.09266
0 -2.99411 0.0 3.08675
0 -3.00173 0.0 3.09439
0 -2.99774 0.0 3.08563
0 -2.9977 0.0 3.08236
0 -3.00114 0.0 3.0898
0 -2.99844 0.0 3.08134
0 -2.99574 0.0 3.08031
0 -3.0011 0.0 3.08742
0 -2.99487 0.0 3.07675
0 -2.99818 0.0 3.07384
0 -3.00004 0.0 3.07957
1 -3.03012 0.0 3.06392
1 -3.01659 0.0 3.06963
1 -3.02987 0.0 3.08768
1 -2.99375 0.0 3.09425
1 -2.98737 0.0 3.10411
1 -2.99839 0.0 3.10633
1 -2.96715 0.0 3.12918
1 -2.9585 0.0 3.14613
1 -2.97625 0.0 3.14354
1 -2.95002 0.0 3.17889
1 -2.95436 0.0 3.18842
1 -2.97438 0.0 3.18041
