#Evaluation x y z
0 -2.98646 0.0 -2.55907
0 -2.99659 0.0 -2.56358
0 -3.00851 0.0 -2.56524
0 -2.98944 0.0 -2.57143
0 -3.00021 0.0 -2.57726
0 -3.0133 0.0 -2.58041
0 -2.99579 0.0 -2.5891
0 -3.01511 0.0 -2.58668
0 -3.02371 0.0 -2.58771
0 -3.0052 0.0 -2.59556
0 -3.02781 0.0 -2.6017
0 -3.02767 0.0 -2.60333
0 -3.0117 0.0 -2.60907
0 -3.03913 0.0 -2.60963
0 -3.03735 0.0 -2.61492
0 -3.02863 0.0 -2.62572
1 -3.01676 0.0 -2.63092
1 -3.04582 0.0 -2.63392
1 -3.09761 0.0 -2.61303
1 -3.02823 0.0 -2.63004
1 -3.05522 0.0 -2.61999
1 -3.09171 0.0 -2.61538
1 -3.03154 0.0 -2.64744
1 -3.06226 0.0 -2.62096
1 -3.0773 0.0 -2.6116
1 -3.0249 0.0 -2.6464
1 -3.06426 0.0 -2.61673
1 -3.06821 0.0 -2.61333
1 -3.02058 0.0 -2.64655
1 -3.06886 0.0 -2.60455
1 -3.06028 0.0 -2.60435
