#Evaluation x y z
0 2.9086 0.0 3.23325
0 2.88334 0.0 3.23507
0 2.85375 0.0 3.23986
0 2.93448 0.0 3.22345
0 2.91766 0.0 3.21586
0 2.89622 0.0 3.21486
0 2.9489 0.0 3.17109
0 2.94524 0.0 3.15636
0 2.9259 0.0 3.18061
0 2.96555 0.0 3.15908
0 2.93795 0.0 3.15311
0 2.91077 0.0 3.15925
0 2.96082 0.0 3.12846
0 2.94793 0.0 3.11579
0 2.92635 0.0 3.12123
0 2.96633 0.0 3.0963
1 2.91045 0.0 3.07381
1 3.09794 0.0 3.02263
1 3.10813 0.0 2.79359
1 2.99855 0.0 2.7867
1 3.11138 0.0 2.74289
1 2.98788 0.0 2.68465
1 2.98178 0.0 2.70909
1 3.04779 0.0 2.82906
1 3.07593 0.0 2.68887
1 2.978 0.0 2.73143
1 3.10792 0.0 2.68797
1 3.11514 0.0 2.55339
1 3.00119 0.0 2.54105
1 3.04339 0.0 2.63356
1 2.9524 0.0 2.48515
1 2.97277 0.0 2.54211
2 3.17528 0.0 2.25442
2 2.89547 0.0 2.08436
2 2.95543 0.0 2.14231
2 3.27151 0.0 2.21487
2 3.23909 0.0 2.08214
2 3.13972 0.0 1.85252
2 3.19439 0.0 1.80141
2 3.14789 0.0 1.66725
2 2.93389 0.0 1.55932
2 2.86436 0.0 1.44993
2 2.86357 0.0 1.38101
2 2.65193 0.0 1.26908
2 2.64232 0.0 1.26525
2 2.62957 0.0 1.27435
2 2.47186 0.0 1.24543
2 2.47115 0.0 1.19862
3 2.26616 0.0 1.04215
3 2.44826 0.0 1.10624
3 2.34639 0.0 0.929342
3 2.23328 0.0 1.05522
3 2.31838 0.0 0.987697
3 2.15236 0.0 0.907323
3 2.16709 0.0 1.02805
3 2.23888 0.0 1.00556
3 2.1082 0.0 0.958459
3 2.11034 0.0 1.06129
3 2.0975 0.0 0.990255
3 1.8912 0.0 0.985804
3 1.97946 0.0 1.12733
3 1.96314 0.0 1.08761
3 1.77659 0.0 1.14434
3 1.80798 0.0 1.23788
4 1.86022 0.0 1.18524
4 1.9371 0.0 1.01812
4 1.94592 0.0 0.884216
4 1.82689 0.0 0.821066
4 1.90054 0.0 0.636737
4 1.86997 0.0 0.40728
4 1.99573 0.0 0.366867
4 2.12388 0.0 0.462093
4 2.08278 0.0 0.37467
4 2.15434 0.0 0.381517
4 2.28394 0.0 0.477174
4 2.40023 0.0 0.623564
4 2.40783 0.0 0.475023
4 2.64903 0.0 0.449344
4 2.92269 0.0 0.461288
4 2.95599 0.0 0.488517
5 3.18381 0.0 0.605767
5 2.95995 0.0 0.615111
5 2.95142 0.0 0.662914
5 2.79196 0.0 0.709685
5 2.55075 0.0 0.856505
5 2.55399 0.0 0.883056
5 2.37504 0.0 1.01642
5 2.2013 0.0 1.10425
5 2.26689 0.0 1.13665
5 2.11506 0.0 1.25813
5 1.99814 0.0 1.36873
5 2.07956 0.0 1.34396
5 1.93644 0.0 1.54475
5 1.85529 0.0 1.74431
5 1.91543 0.0 1.65096
5 1.79901 0.0 1.89125
6 1.81011 0.0 1.95974
6 2.024 0.0 1.92302
6 1.95648 0.0 1.92467
6 1.9651 0.0 1.78257
6 2.02574 0.0 1.60029
6 1.95545 0.0 1.44982
6 1.91978 0.0 1.42395
6 1.8113 0.0 1.2863
6 1.68592 0.0 1.3246
6 1.60852 0.0 1.33503
6 1.3954 0.0 1.29562
6 1.43358 0.0 1.41839
6 1.37894 0.0 1.47587
6 1.347 0.0 1.70305
6 1.48755 0.0 1.6742
6 1.62301 0.0 1.79478
7 1.52031 0.0 1.8526
7 1.46977 0.0 2.05083
7 1.54114 0.0 2.14893
7 1.4201 0.0 2.23877
7 1.50584 0.0 2.36762
7 1.60571 0.0 2.35948
7 1.85659 0.0 2.5375
