#Generation Evaluation Fitness 2eDisSq Distance Speed RLFitness
0 0 1.13164e-05 1.0008800966579448 0.035625169154539886 0.0014983668049520476 1.1316414806892919e-05
1 1 1160.62 1.5095042531088982 0.77076249372140393 0.03241766881398906 1160.6217008892436
2 2 3.74858 1.0627590618921168 0.29633521651129208 0.012463627881531466 3.7485805239067824
3 3 0.240897 1.0246803794976962 0.1875472510266612 0.0078880909752128709 0.24089704056471867
4 4 0.0407762 1.0135780399394558 0.13948896971380179 0.0058667971784068726 0.040776171449884324
5 5 1996.47 1.6378600717412839 0.84368958013793549 0.035484925140390991 1996.4726275820356
6 6 0.173475 1.0220937445370095 0.17755991566108087 0.0074680314460414286 0.17347497274444434
7 7 74960.3 5.2181342616163411 1.5438698341848225 0.064933960051515124 74960.303617862752
8 8 91.1788 1.1928678354827207 0.50441471787912096 0.021215289278226839 91.178773813029039
9 9 802.557 1.4392675932773489 0.72479986722951162 0.030484516623044758 802.55698361461589
10 10 3.69108 1.0624266685704442 0.29557277640730029 0.012431560245932879 3.6910831941100857
11 11 54095.1 4.4013524672515665 1.4621719836101401 0.061497812231247458 54095.108576264633
12 12 0.340702 1.0277449576530595 0.19870151920463788 0.0083572307875436486 0.34070175686916615
13 13 2.78845 1.0567006815991544 0.28207584154980758 0.011863889701792037 2.7884483369653061
14 14 39.4489 1.1426925930518668 0.43867680836520623 0.018450404120340092 39.448936342633409
